NAME;POP87;BIRTH;MORTALITY;GROWTH;POP00;POP20;INFANT_MORTALITY;FERTILITY;AGE15;AGE65;EXPECTANCY;URBAN;ENERGY;GNP;SURFACE;CULTURE;PASTURAGE;FOREST
SAINT LUCIA;0.1;30;6;2.5;0.2;0.2;17.6;4.1;44;6;71;40;;1210;619.01;27;5;13
SAO TOME AND PRINCIPE;0.1;36;9;2.7;0.1;0.3;61.7;5.4;41;6;65;35;;310;960.89;38;1;0
SAUDI ARABIA;14.8;39;7;3.1;23.2;43.2;79;6.9;37;2;63;72;104;8860;2149689.64;1;40;1
SENEGAL;7.1;46;18;2.8;10.6;19.7;131;6.7;46;3;45;36;5;370;196189.91;27;29;30
SEYCHELLES;0.1;27;7;1.9;0.1;0.1;17.9;3.5;37;6;70;37;;2320;279.72;25;0;18
SIERRA LEONE;3.9;47;29;1.8;5.4;8.9;176;6.2;41;3;35;28;2;370;71740.41;25;31;29
SINGAPORE;2.6;17;5;1.1;2.9;3.1;9.3;1.6;24;5;71;100;196;7420;580.16;10;0;5
SOLOMON ISLANDS;0.3;42;6;3.6;0.5;0.8;43;6.6;48;3;68;9;8;510;28451.15;2;1;90
SOMALIA;7.7;48;23;2.5;10.4;18.6;150;7.1;45;4;41;34;4;270;637660.59;2;45;14
SOUTH AFRICA;34.3;33;10;2.3;45.3;63.5;72;4.6;38;4;56;56;;2010;1221039.96;11;65;3
SOUTH KOREA;42.1;20;6;1.4;48;52;30;2.1;31;4;67;65;44;2180;98479.57;22;1;66
SOUTH YEMEN;2.4;47;17;3;3.6;6.3;135;7.3;48;3;48;40;25;540;332970.4;1;27;5
SPAIN;39;13;8;0.5;41;41.6;10.5;1.8;23;13;76;91;65;4360;504780.64;41;21;31
SRI LANKA;16.3;25;7;1.8;19.4;24.2;29.8;3.7;35;4;70;22;4;370;65609.88;34;7;36
ST. KITTS-NEVIS;0.05;26;11;1.6;0.1;0.1;27.8;2.8;37;9;67;45;;1520;360.01;39;3;17
ST. VINCENT AND GRENADINES;0.1;26;7;2;0.1;0.2;26.5;3.2;43;6;69;;;840;388.5;50;6;41
SUDAN;23.5;45;16;2.8;33.4;55.6;112;6.5;45;3;49;20;2;330;2505809.46;5;22;19
SURINAME;0.4;27;7;2.1;0.5;0.6;33;3.3;37;4;69;66;49;2570;163271.01;0;0;96
SWAZILAND;0.7;47;16;3.1;1;1.9;124;6.5;46;3;50;26;;650;17360.77;8;66;6
SWEDEN;8.4;12;11;0.1;8.3;8;6.8;1.7;18;17;77;83;137;11890;449960.7;7;1;59
SWITZERLAND;6.6;12;9;0.2;6.5;6.1;6.9;1.5;18;14;76;57;108;16380;41289.78;10;39;25
SYRIA;11.3;47;9;3.8;17.8;29;59;7.2;49;4;63;49;27;1630;185179.82;31;45;3
TAIWAN;19.6;17;5;1.2;22.3;24.4;8.9;1.8;30;5;73;67;;;32261.04;24;6;55
TANZANIA;23.5;50;15;3.5;36.6;68.6;111;7.1;48;3;52;18;1;270;945091;5;37;45
THAILAND;53.6;29;8;2.1;65.5;81.6;57;3.5;36;3;63;17;12;830;514001.04;38;1;30
TOGO;3.2;47;15;3.1;4.9;8.9;117;6.6;44;3;53;22;2;250;56790.93;25;4;26
TRINIDAD AND TOBAGO;1.3;27;7;2;1.6;2.2;20;3.2;34;6;70;34;148;6010;5130.79;31;2;44
TUNISIA;7.6;32;7;2.5;9.9;13.6;78;4.5;40;4;62;53;20;1220;163610.3;29;18;3
TURKEY;51.4;30;9;2.1;65.4;86.7;92;4;36;4;62;46;26;1130;780579.38;35;12;26
UGANDA;15.9;50;16;3.4;24.7;46.4;108;7;48;3;50;10;1;230;236039.65;28;21;25
UNITED ARAB EMIRATES;1.4;30;4;2.6;1.9;2.6;38;5.9;30;1;68;81;223;19120;83600.02;0;2;0
UNITED KINGDOM;56.8;13;12;0.2;57.3;56.6;9.4;1.8;19;15;74;90;138;8390;244819.75;29;48;9
UNITED STATES;243.8;16;9;0.7;268;296.6;10.5;1.8;22;12;75;74;280;16400;9363119.36;20;26;28
URUGUAY;3.1;18;10;0.8;3.2;3.5;30.4;2.5;27;11;71;85;18;1660;176221.01;8;77;4
USSR;284;19;11;0.9;312;355;26;2.5;26;9;69;65;176;7400;22402199.82;10;17;42
VANUATU;0.2;39;5;3.3;0.2;0.3;39;5.8;45;3;68;18;;350;14760.41;6;2;1
VENEZUELA;18.3;32;6;2.7;24.7;35.4;38;3.9;40;3;69;76;96;3110;912050.37;4;19;35
VIETNAM;62.2;34;8;2.6;86;121.2;55;4.5;40;4;63;19;4;300;329559.37;20;1;40
WEST GERMANY;61;10;12;-0.2;58.4;50.5;9.5;1.3;15;15;74;85;163;10940;248580.43;30;19;29
WESTERN SAMOA;0.2;31;7;2.4;0.2;0.4;51;5;38;3;65;21;;660;2859.36;43;0;47
YUGOSLAVIA;23.4;16;9;0.7;25;25.9;28.8;2.1;25;9;71;46;73;2070;255798.76;30;25;36
ZAIRE;31.8;45;15;3.1;47.6;81.6;103;6.1;46;3;51;34;2;170;2345410.76;3;4;75
ZAMBIA;7.1;50;15;3.5;11.6;22;84;7;47;3;52;43;10;400;752609.97;7;47;39
ZIMBABWE;9.4;47;12;3.5;15.1;29.4;76;6.5;50;3;57;24;13;650;390579.77;7;12;6
